id,index,title,description,category
14,10.5.6,鎗口指向其他人,於賽程時鎗枝鎗口指向其他人(例如比賽工作人員或觀眾)身體任何部位。不適用於參賽者 已遵從賽例8.5.6，於賽程期間任何意外出現於賽程射擊範圍內人士的情況。,不安全使用鎗枝
15,10.5.7,鎗枝鎗口指向超越參賽者脚下後 方半徑1米,於拔鎗和把鎗枝放回鎗套時，已上膛/入匣(裝有投射物)的鎗枝鎗口指向超越參賽者脚下後 方半徑1米。此1米寬限僅適用於參賽者正面面對射擊場。 ,不安全使用鎗枝
16,10.5.8,進行賽程時佩帶或使用多於一把鎗枝。,進行賽程時佩帶或使用多於一把鎗枝。,不安全使用鎗枝
17,10.5.9,維修時，槍支移離標靶時手指在護環內,參賽者鎗枝明顯移離標靶進行維修時，扣板機的手指仍放於板機護環內。,不安全使用鎗枝
18,10.5.10,上匣、換匣、或卸匣時，手指在護環內,在上匣、換匣、或卸匣時，扣板機的手指仍放於板機護環內，特別情況允許除外(見賽 例 8.1.2.5，8.3.7.1 及 8.7.1)。,不安全使用鎗枝
19,10.5.11,移動時，手指在護環內,跟據賽例8.5.1，移動時扣板機的手指仍放於板機護環內。,不安全使用鎗枝
21,10.5.12,在槍套內的已上膛的槍支沒有啟動安全掣,在下列任何情況下，已上膛/入匣(裝有投射物)的鎗枝放於鎗套內：\n單動作半自動鎗枝已上膛，但沒有啟動安全掣。\n雙動作或選擇式半自動鎗枝已拉起擊鎚，但沒有啟動安全掣。,不安全使用鎗枝
22,10.5.13,在安全區內手持投射物或任何裝有壓縮氣體的東西,在安全區內手持投射物或任何裝有壓縮氣體的東西，違反賽例2.4.4。,不安全使用鎗枝
24,10.5.14,自行擁有已上膛/入匣的槍支,未有 RO的授權下擁有已上膛/入匣(裝有投射物)的鎗枝。,不安全使用鎗枝
25,10.5.15,拾起掉倒地上鎗枝,拾起掉倒地上鎗枝。掉倒地上鎗枝必須經由RO拾起，在檢查和/或清空鎗枝後，直接放回參賽者的鎗盒、鎗袋或鎗套。在賽程進行以外時間，掉下未有入匣的鎗枝或導致鎗枝掉下不會判罰取消參賽資格。然而，如參賽者自行拾回掉下的鎗枝將被判罰取消參賽資格。,不安全使用鎗枝
26,10.5.16,使用非法的投射物或槍支,使用被禁止和/或不安全的投射物(見賽例5.5.4，5.5.6及5.6.1)，和/或使用被禁止的鎗枝(見 賽例5.1.10及5.1.11)。,不安全使用鎗枝
27,10.6.1,參賽者做出違背體育精神行為,RO 可基於參賽者做出違背體育精神行為時判罰取消參賽資格。例子包括，但不只限於：作弊、不誠實、不服從比賽工作人員合理的指示，或做出任何玷污比賽的行為。必須盡快向RM報告。,違背體育精神行為
28,10.6.2,故意使護目鏡脫下,如 RO認為參賽者故意脫下或導致護目鏡脫下，從而希望獲得重賽或得益，會判罰該參賽者取消參賽資格。,違背體育精神行為
29,10.6.3,在場人仕做出不可接受的行為,如 RO認為任何在場人仕做出不可接受的行為時，可將該等人仕驅逐離場。不可接受的行為包括，但不只限於：不服從比賽工作人員合理的指示、干擾比賽運作和/或參賽者作賽，及做出任何玷污比賽的行為。,違背體育精神行為
30,10.7.2,參賽者濫用酒精製品、禁藥或藥物,IPSC 嚴禁參賽者濫用酒精製品、非處方和不必要的藥物及服用禁藥或增强身體機能的藥物，不論如何使用或管有，皆為嚴重違規的行為。,嚴禁使用的物品
31,10.7.3,參賽者受藥物作用影響,在 IPSC比賽中，除醫藥用途外，參賽者及工作人員均不能受任何藥物(包括洒精製品)影響。如RM認為任何人仕明顯受上述物品影響，將判罰取消參賽資格及有權將該等人仕驅逐離場。,嚴禁使用的物品
